combine w/,team table,,,,OLDentryid,entryid,Year,orgid,Class,Team,Place,buggyid,Prelim,Reroll,Final,Fin Reroll,DQ,Note,PreDriver,PreH1,PreH2,PreH3,PreH4,PreH5,RRDriver,RRH1,RRH2,RRH3,RRH4,RRH5,FinDriver,FinH1,FinH2,FinH3,FinH4,FinH5,FinRRDriver,FinRRH1,FinRRH2,FinRRH3,FinRRH4,FinRRH5
,,,,,763,1936.KS.MA,1936,KS,M,A,1,0,166.8,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1937.KS.MA,1937,KS,M,A,1,0,0,0,0,0,0,Details unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1938.BTP.MA,1938,BTP,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1938.DTD.MA,1938,DTD,M,A,2,0,164.4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,762,1938.KS.MA,1938,KS,M,A,1,0,163,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1939.ATO.MA,1939,ATO,M,A,3,0,0,0,0,0,0,Verify?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1939.DTD.MA,1939,DTD,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,761,1939.KS.MA,1939,KS,M,A,1,0,164,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1940.BTP.MA,1940,BTP,M,A,2,0,182,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1940.DTD.MA,1940,DTD,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1940.DU.MA,1940,DU,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,760,1940.KS.MA,1940,KS,M,A,1,0,0,0,173,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1940.PKA.MA,1940,PKA,M,A,0,0,194,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1940.SAE.MA,1940,SAE,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1940.TX.MA,1940,TX,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1941.BTP.MA,1941,BTP,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1941.DTD.MA,1941,DTD,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,759,1941.KS.MA,1941,KS,M,A,1,0,173,0,175,0,0,,1789,1784,1785,1786,1787,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.BTP.MA,1946,BTP,M,A,0,0,0,0,0,0,Pushbar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,758,1946.DTD.MA,1946,DTD,M,A,1,0,205.1,0,169,0,0,"Tartan says 3:49, which seems unlikely",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.DU.MA,1946,DU,M,A,0,0,0,0,0,0,4/5 Transition,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1400,1946.KS.MA,1946,KS,M,A,2,0,204.5,0,0,0,0,Hit a pedestrian after being cut off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.MDC.MA,1946,MDC,M,A,0,0,0,0,0,0,4/5 Transition,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1414,1946.PKA.MA,1946,PKA,M,A,3,0,206.3,0,0,0,Interference,"Cut off KS in freeroll. Won by ""30 yards"" but DQed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.PKT.MA,1946,PKT,M,A,0,0,0,0,0,0,4/5 Transition,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.SAE.MA,1946,SAE,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.TDP.MA,1946,TDP,M,A,0,0,0,0,0,0,DNS,Broken Axle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1946.TX.MA,1946,TX,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1396,1947.DTD.MA,1947,DTD,M,A,3,eleven,0,0,0,0,0,guess at buggy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,757,1947.DU.MA,1947,DU,M,A,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1415,1947.PKA.MA,1947,PKA,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,756,1948.DTD.MA,1948,DTD,M,A,1,eleven,168,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1401,1948.KS.MA,1948,KS,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1416,1948.PKA.MA,1948,PKA,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,755,1949.DTD.MA,1949,DTD,M,A,1,thirteen,162.5,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1402,1949.KS.MA,1949,KS,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1417,1949.PKA.MA,1949,PKA,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,754,1950.DTD.MA,1950,DTD,M,A,1,twelve,161.8,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1398,1950.DU.MA,1950,DU,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1950.KS.MA,1950,KS,M,A,0,0,159,0,0,0,1/2 Transition,Would have been course record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1418,1950.PKA.MA,1950,PKA,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,753,1951.DTD.MA,1951,DTD,M,A,1,twelve,161.6,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1399,1951.DU.MA,1951,DU,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1403,1951.KS.MA,1951,KS,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,752,1952.DTD.MA,1952,DTD,M,A,1,twelve,156,0,0,0,0,"Course Record. ""134.5lb buggy""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1404,1952.KS.MA,1952,KS,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1419,1952.PKA.MA,1952,PKA,M,A,3,0,0,0,0,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,751,1953.ATO.MA,1953,ATO,M,A,1,andy,0,0,150.55,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
